nazwa;typ;gmina;powiat;woj;teryt
Brzozówka;wieś;Grabów nad Pilicą;kozienicki;mazowieckie;621529
Brzozówka;wieś;Jakubów;miński;mazowieckie;673495
Brzozówka;wieś;Czosnów;nowodworski;mazowieckie;1146
Brzozówka;wieś;Kadzidło;ostrołęcki;mazowieckie;511031
Brzozówka;wieś;Bargłów Kościelny;augustowski;podlaskie;754265
Brzozówka;wieś;Tuczępy;buski;świętokrzyskie;275139
Brzozówka;wieś;Okonek;złotowski;wielkopolskie;528534
Brzozówka Folwarczna;wieś;Jasionówka;moniecki;podlaskie;30745
Brzozówka Koronna;wieś;Czarna Białostocka;białostocki;podlaskie;25365
Brzozówka Ziemiańska;wieś;Czarna Białostocka;białostocki;podlaskie;25388
Brzozówko;wieś;Budry;węgorzewski;warmińsko-mazurskie;755365
Brzóski Brzezińskie;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410206
Brzóski Stare;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410577
Brzóski-Falki;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410212
Brzóski-Gromki;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410229
Brzóski-Markowizna;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410235
Brzóski-Tatary;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410241
Brzóstowa;wieś;Ćmielów;ostrowiecki;świętokrzyskie;789370
Brzóstownia;wieś;Książ Wielkopolski;śremski;wielkopolskie;587146
Brzóza;wieś;Głowaczów;kozienicki;mazowieckie;619188
Brzóza Królewska;wieś;Leżajsk;leżajski;podkarpackie;653430
Brzóza Stadnicka;wieś;Żołynia;łańcucki;podkarpackie;667678
Brzóze;wieś;Mińsk Mazowiecki;miński;mazowieckie;681520
Brzóze Duże;wieś;Rzewnie;makowski;mazowieckie;519676
Brzóze Małe;wieś;Rzewnie;makowski;mazowieckie;519682
Brzózka;wieś;Wińsko;wołowski;dolnośląskie;882520
Brzózka;wieś;Krosno Odrzańskie;krośnieński;lubuskie;910529
Brzózka;wieś;Stoczek;węgrowski;mazowieckie;690890
Brzózki;wieś;Szubin;nakielski;kujawsko-pomorskie;97146
Brzózki;wieś;Galewice;wieruszowski;łódzkie;197215
Brzózki;wieś;Kolno;kolneński;podlaskie;399380
Brzózki;wieś;Nowy Staw;malborski;pomorskie;153471
Brzózki;wieś;Lipie;kłobucki;śląskie;137816
Brzózki;wieś;Popów;kłobucki;śląskie;142639
Brzózki;wieś;Kramsk;koniński;wielkopolskie;288320
Brzózki;wieś;Nowe Warpno;policki;zachodniopomorskie;779673
Brzuchania;wieś;Miechów;miechowski;małopolskie;251067
Brzuchowo;wieś;Kęsowo;tucholski;kujawsko-pomorskie;88561
Brzumin;wieś;Góra Kalwaria;piaseczyński;mazowieckie;1554
Brzuska;wieś;Bircza;przemyski;podkarpackie;599095
Brzuskowola;wieś;Borowie;garwoliński;mazowieckie;668614
Brzustowa;wieś;Bobrowniki;lipnowski;kujawsko-pomorskie;858504
Brzustowiec;wieś;Drzewica;opoczyński;łódzkie;617999
Brzustów;wieś;Będków;tomaszowski;łódzkie;536137
Brzustów;wieś;Inowłódz;tomaszowski;łódzkie;540914
Brzustów;wieś;Garbatka-Letnisko;kozienicki;mazowieckie;618579
Brzustówek;wieś;Opoczno;opoczyński;łódzkie;546986
Brzuśce;wieś;Subkowy;tczewski;pomorskie;174289
Brzuśnia;wieś;Opoczno;opoczyński;łódzkie;547193
Brzuśnik;wieś;Radziechowy-Wieprz;żywiecki;śląskie;65620
Brzuza;wieś;Drzewica;opoczyński;łódzkie;618036
Brzuza;wieś;Łochów;węgrowski;mazowieckie;678720
Brzuze;wieś;Brzuze;rypiński;kujawsko-pomorskie;859521
Brzyczyna;wieś;Mogilany;krakowski;małopolskie;326470
Brzydowo;wieś;Świątki;olsztyński;warmińsko-mazurskie;489633
Brzydowo;wieś;Ostróda;ostródzki;warmińsko-mazurskie;484908
Brzyków;wieś;Trzebnica;trzebnicki;dolnośląskie;881383
Brzyków;wieś;Widawa;łaski;łódzkie;717146
Brzyna;wieś;Łącko;nowosądecki;małopolskie;443476
Brzyno;wieś;Krokowa;pucki;pomorskie;164983
Brzyska;wieś;Brzyska;jasielski;podkarpackie;346371
Brzyska Wola;wieś;Kuryłówka;leżajski;podkarpackie;652990
Brzyskorzystew;wieś;Żnin;żniński;kujawsko-pomorskie;100552
Brzyszewo;wieś;Chodecz;włocławski;kujawsko-pomorskie;860560
Brzyszów;wieś;Mstów;częstochowski;śląskie;138483
Brzyście;wieś;Jasło;jasielski;podkarpackie;352785
Brzyście;wieś;Gawłuszowice;mielecki;podkarpackie;664929
Bubele;wieś;Sejny;sejneński;podlaskie;767948
Bubel-Granna;wieś;Janów Podlaski;bialski;lubelskie;12925
Bubel-Łukowiska;wieś;Janów Podlaski;bialski;lubelskie;12948
Buchałowice;wieś;Kurów;puławski;lubelskie;384360
Buchałów;wieś;Świdnica;zielonogórski;lubuskie;914763
Bucharzewo;wieś;Sieraków;międzychodzki;wielkopolskie;594169
Buchcice;wieś;Tuchów;tarnowski;małopolskie;833540
Bucz;wieś;Przemęt;wolsztyński;wielkopolskie;375326
Bucze;wieś;Grębocice;polkowicki;dolnośląskie;363926
Bucze;wieś;Lubrza;świebodziński;lubuskie;910883
Bucze;wieś;Przewóz;żarski;lubuskie;912847
Bucze;wieś;Brzesko;brzeski;małopolskie;813832
Buczek;wieś;Bobrowo;brodnicki;kujawsko-pomorskie;840645
Buczek;wieś;Jeżewo;świecki;kujawsko-pomorskie;87254
Buczek;wieś;Szprotawa;żagański;lubuskie;914562
Buczek;wieś;Brzeziny;brzeziński;łódzkie;725430
Buczek;wieś;Buczek;łaski;łódzkie;700387
Buczek;wieś;Poświętne;opoczyński;łódzkie;548301
Buczek;wieś;Dwikozy;sandomierski;świętokrzyskie;789950
Buczek;wieś;Białogard;białogardzki;zachodniopomorskie;302741
Buczki;wieś;Ełk;ełcki;warmińsko-mazurskie;756212
Buczkowice;wieś;Buczkowice;bielski;śląskie;48395
Buczkowo;wieś;Gniewkowo;inowrocławski;kujawsko-pomorskie;85404
Buczków;wieś;Nowa Sól;nowosolski;lubuskie;912089
Buczków;wieś;Rzezawa;bocheński;małopolskie;829974
Bucznik;wieś;Stary Dzierzgoń;sztumski;pomorskie;156771
Buczyn;wieś;Czerwin;ostrołęcki;mazowieckie;508187
Buczyn Dworski;wieś;Kosów Lacki;sokołowski;mazowieckie;675904
Buczyn Szlachecki;wieś;Kosów Lacki;sokołowski;mazowieckie;675910
Buczyna;wieś;Radwanice;polkowicki;dolnośląskie;366920
Buczyna;wieś;Lubrza;świebodziński;lubuskie;910908
Buczyna;wieś;Bochnia;bocheński;małopolskie;811974
Buczyniec;wieś;Rychliki;elbląski;warmińsko-mazurskie;155926
Buczynka;wieś;Lubin;lubiński;dolnośląskie;365196
Buczyno-Mikosy;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410258
Buczynów;wieś;Góra Kalwaria;piaseczyński;mazowieckie;1577
Buczyny;wieś;Trzebiel;żarski;lubuskie;915722
Bućki;wieś;Przerośl;suwalski;podlaskie;765783
Buda;wieś;Stare Babice;warszawski zachodni;mazowieckie;8734
Buda Ruska;wieś;Krasnopol;sejneński;podlaskie;760679
Buda Zawidugierska;wieś;Puńsk;sejneński;podlaskie;766096
Budachów;wieś;Bytnica;krośnieński;lubuskie;908366
Budczyce;wieś;Zawonia;trzebnicki;dolnośląskie;883637
Budel;wieś;Łaskarzew;garwoliński;mazowieckie;678280
Budki;wieś;Trzydnik Duży;kraśnicki;lubelskie;808676
Budki;wieś;Krzywda;łukowski;lubelskie;676944
Budki;wieś;Grabów;łęczycki;łódzkie;283883
Budki;wieś;Witonia;łęczycki;łódzkie;578727
Budki;wieś;Żelechów;garwoliński;mazowieckie;697024
Budki;wieś;Chorzele;przasnyski;mazowieckie;507294
Budki;wieś;Chlewiska;szydłowiecki;mazowieckie;615753
Budki Łochowskie;wieś;Żelechlinek;tomaszowski;łódzkie;558297
Budki Petrykowskie;wieś;Pniewy;grójecki;mazowieckie;631309
Budki Piaseckie;wieś;Teresin;sochaczewski;mazowieckie;738697
Budki Suserskie;wieś;Szczawin Kościelny;gostyniński;mazowieckie;577662
Budki Żelazowskie;wieś;Kampinos;warszawski zachodni;mazowieckie;3228
Budki-Rososz;wieś;Ryki;rycki;lubelskie;390490
Budkowo;wieś;Drobin;płocki;mazowieckie;563097
Budków;wieś;Wińsko;wołowski;dolnośląskie;882550
Budków;wieś;Żarnów;opoczyński;łódzkie;557613
Budków;wieś;Wola Krzysztoporska;piotrkowski;łódzkie;555689
Budlewo;wieś;Wyszki;bielski;podlaskie;43788
Budne;wieś;Troszyn;ostrołęcki;mazowieckie;522017
Budne;wieś;Goniądz;moniecki;podlaskie;396624
Budne-Sowięta;wieś;Baranowo;ostrołęcki;mazowieckie;505987
Budno;wieś;Janów;sokólski;podlaskie;30290
Budno;wieś;Goleniów;goleniowski;zachodniopomorskie;775209
Budomierz;wieś;Lubaczów;lubaczowski;podkarpackie;605996
Budoradz;wieś;Gubin;krośnieński;lubuskie;909182
Budowo;wieś;Dębnica Kaszubska;słupski;pomorskie;743936
Budry;wieś;Budry;węgorzewski;warmińsko-mazurskie;755371
Budwiecie;wieś;Dubeninki;gołdapski;warmińsko-mazurskie;755738
Budwieć;wieś;Giby;sejneński;podlaskie;757358
Budy;wieś;Bobrowo;brodnicki;kujawsko-pomorskie;840651
Budy;wieś;Rogóźno;grudziądzki;kujawsko-pomorskie;848836
Budy;wieś;Jeziora Wielkie;mogileński;kujawsko-pomorskie;86800
Budy;wieś;Krynice;tomaszowski;lubelskie;891690
Budy;wieś;Rozprza;piotrkowski;łódzkie;550367
Budy;wieś;Gidle;radomszczański;łódzkie;1040533
Budy;wieś;Brąszewice;sieradzki;łódzkie;699543
Budy;wieś;Słubice;płocki;mazowieckie;575440
Budy;wieś;Gielniów;przysuski;mazowieckie;618770
Budy;wieś;Wodynie;siedlecki;mazowieckie;694712
Budy;wieś;Kazanów;zwoleński;mazowieckie;626260
Budy;wieś;Michałowo;białostocki;podlaskie;34223
Budy;wieś;Białowieża;hajnowski;podlaskie;23113
Budy;wieś;Trzcianne;moniecki;podlaskie;408847
Budy;wieś;Lubichowo;starogardzki;pomorskie;166812
Budy;wieś;Fałków;konecki;świętokrzyskie;538952
Budy;wieś;Bogoria;staszowski;świętokrzyskie;788092
Budy;wieś;Kleczew;koniński;wielkopolskie;286605
Budy;wieś;Rozdrażew;krotoszyński;wielkopolskie;207793
Budy;wieś;Jastrowie;złotowski;wielkopolskie;526297
Budy Augustowskie;wieś;Grabów nad Pilicą;kozienicki;mazowieckie;621587
Budy Barcząckie;wieś;Mińsk Mazowiecki;miński;mazowieckie;681572
Budy Bolewskie;wieś;Stupsk;mławski;mazowieckie;127261
Budy Borowickie;wieś;Bodzanów;płocki;mazowieckie;560271
Budy Brankowskie;wieś;Białobrzegi;białobrzeski;mazowieckie;614529
Budy Brodzkie;wieś;Brody;starachowicki;świętokrzyskie;230823
Budy Chojnackie;wieś;Kowiesy;skierniewicki;łódzkie;729468
Budy Ciepielińskie;wieś;Pokrzywnica;pułtuski;mazowieckie;122619
Budy Czarnockie;wieś;Piątnica;łomżyński;podlaskie;403413
Budy Dłutowskie;wieś;Dłutów;pabianicki;łódzkie;537668
Budy Garlińskie;wieś;Szydłowo;mławski;mazowieckie;127982
Budy Giżyńskie;wieś;Strzegowo;mławski;mazowieckie;126505
Budy Głogowskie;wieś;Głogów Małopolski;rzeszowski;podkarpackie;649893
Budy Grabskie;wieś;Skierniewice;skierniewicki;łódzkie;737545
Budy Gutarzewskie;wieś;Sochocin;płoński;mazowieckie;125724
Budy Iłowskie;wieś;Iłów;sochaczewski;mazowieckie;566121
Budy Janowskie;wieś;Mińsk Mazowiecki;miński;mazowieckie;681589
Budy Jeżewskie;wieś;Zadzim;poddębicki;łódzkie;720355
Budy Józefowskie;wieś;Radziejowice;żyrardowski;mazowieckie;735240
Budy Kaleńskie;wieś;Szczawin Kościelny;gostyniński;mazowieckie;577679
Budy Kozickie;wieś;Gostynin;gostyniński;mazowieckie;564234
Budy Koziebrodzkie;wieś;Siemiątkowo;żuromiński;mazowieckie;125204
Budy Kraszewskie;wieś;Raciąż;płoński;mazowieckie;123346
Budy Krępskie;wieś;Łaskarzew;garwoliński;mazowieckie;678297
Budy Kumińskie;wieś;Jakubów;miński;mazowieckie;673503
Budy Kupientyńskie;wieś;Sokołów Podlaski;sokołowski;mazowieckie;688663
Budy Liskowskie;wieś;Lisków;kaliski;wielkopolskie;202360
Budy Lucieńskie;wieś;Gostynin;gostyniński;mazowieckie;564240
Budy Łańcuckie;wieś;Białobrzegi;łańcucki;podkarpackie;643620
Budy Łękawickie;wieś;Siennica;miński;mazowieckie;686983
Budy Michałowskie;wieś;Jaktorów;grodziski;mazowieckie;728434
Budy Michałowskie;wieś;Warka;grójecki;mazowieckie;640113
Budy Milewskie;wieś;Zawidz;sierpecki;mazowieckie;579402
Budy Mszczonowskie;wieś;Radziejowice;żyrardowski;mazowieckie;735256
Budy Niemianowskie;wieś;Gózd;radomski;mazowieckie;621386
Budy Nosalewickie;wieś;Przedbórz;radomszczański;łódzkie;548666
Budy Nowe;wieś;Łanięta;kutnowski;łódzkie;569266
Budy Obrębskie;wieś;Pokrzywnica;pułtuski;mazowieckie;122625
Budy Opożdżewskie;wieś;Warka;grójecki;mazowieckie;640120
Budy Piaseczne;wieś;Zawidz;sierpecki;mazowieckie;579419
Budy Pobyłkowskie;wieś;Pokrzywnica;pułtuski;mazowieckie;122631
Budy Podłęskie;wieś;Maciejowice;garwoliński;mazowieckie;680331
Budy Porajskie;wieś;Rozprza;piotrkowski;łódzkie;550373
Budy Poryckie;wieś;Stawiski;kolneński;podlaskie;406334
Budy Prywatne;wieś;Krasnosielc;makowski;mazowieckie;511700
Budy Przybyłowskie;wieś;Koło;kolski;wielkopolskie;287734
Budy Przytockie;wieś;Kałuszyn;miński;mazowieckie;673740
Budy Radzymińskie;wieś;Baboszewo;płoński;mazowieckie;111550
Budy Rumockie;wieś;Glinojeck;ciechanowski;mazowieckie;114548
Budy Rządowe;wieś;Jednorożec;przasnyski;mazowieckie;510474
Budy Siennickie;wieś;Nasielsk;nowodworski;mazowieckie;119818
Budy Słodkowskie;wieś;Turek;turecki;wielkopolskie;298229
Budy Stare;wieś;Łanięta;kutnowski;łódzkie;569390
Budy Stawiskie;wieś;Stawiski;kolneński;podlaskie;406340
Budy Stryjewskie;wieś;Łask;łaski;łódzkie;706993
Budy Sułkowskie;wieś;Chynów;grójecki;mazowieckie;616468
Budy Sułkowskie;wieś;Strzegowo;mławski;mazowieckie;126534
Budy Szynczyckie;wieś;Czarnocin;piotrkowski;łódzkie;537036
Budy Trzcińskie;wieś;Nowy Kawęczyn;skierniewicki;łódzkie;734162
Budy Uśniackie;wieś;Garwolin;garwoliński;mazowieckie;670887
Budy Wandalińskie;wieś;Brójce;łódzki wschodni;łódzkie;413363
Budy Wielgoleskie;wieś;Latowicz;miński;mazowieckie;677530
Budy Wolińskie;wieś;Strzegowo;mławski;mazowieckie;126540
Budy Wolskie;wieś;Aleksandrów Łódzki;zgierski;łódzkie;412760
Budy Wolskie;wieś;Puszcza Mariańska;żyrardowski;mazowieckie;734699
Budy Zaklasztorne;wieś;Puszcza Mariańska;żyrardowski;mazowieckie;734713
Budy Zosine;wieś;Jaktorów;grodziski;mazowieckie;728440
Budy Żelazne;wieś;Mały Płock;kolneński;podlaskie;401199
Budy-Gole;wieś;Chodów;kolski;wielkopolskie;281832
Budy-Grudzie;wieś;Ostrów Mazowiecka;ostrowski;mazowieckie;516264
Budy-Grzybek;wieś;Jaktorów;grodziski;mazowieckie;728405
Budy-Kałki;wieś;Puszcza Mariańska;żyrardowski;mazowieckie;734676
Budykierz;wieś;Brańszczyk;wyszkowski;mazowieckie;506538
Budy-Kozłówka;wieś;Mały Płock;kolneński;podlaskie;401182
Budy-Matusy;wieś;Radzanów;mławski;mazowieckie;124222
Budy-Mikołajka;wieś;Piątnica;łomżyński;podlaskie;403436
Budynia;wieś;Dąbie;krośnieński;lubuskie;908969
Budynin;wieś;Ulhówek;tomaszowski;lubelskie;904285
Budy-Przetycz;wieś;Długosiodło;wyszkowski;mazowieckie;509229
Budy-Strzyże;wieś;Mszczonów;żyrardowski;mazowieckie;732418
Budy-Zasłona;wieś;Mszczonów;żyrardowski;mazowieckie;732424
Budy-Zbroszki;wieś;Winnica;pułtuski;mazowieckie;129188
Budzewo;wieś;Budry;węgorzewski;warmińsko-mazurskie;755402
Budziaki;wieś;Rojewo;inowrocławski;kujawsko-pomorskie;94544
Budziaki;wieś;Pątnów;wieluński;łódzkie;709359
Budziarze;wieś;Biszcza;biłgorajski;lubelskie;886564
Budzicz;wieś;Prusice;trzebnicki;dolnośląskie;879707
Budziczna;wieś;Sieradz;sieradzki;łódzkie;713473
Budziechów;wieś;Jasień;żarski;lubuskie;909816
Budziejewko;wieś;Mieścisko;wągrowiecki;wielkopolskie;588772
Budziejewo;wieś;Mieścisko;wągrowiecki;wielkopolskie;588789
Budziejowice;wieś;Koniusza;proszowicki;małopolskie;322821
Budzieszewice;wieś;Przybiernów;goleniowski;zachodniopomorskie;781569
Budzieszowce;wieś;Maszewo;goleniowski;zachodniopomorskie;778870
Budzieszowice;wieś;Łambinowice;nyski;opolskie;498773
Budzigniew;wieś;Słońsk;sulęciński;lubuskie;186944
Budziłowo;wieś;Kołaczkowo;wrzesiński;wielkopolskie;585532
Budziska;wieś;Skrwilno;rypiński;kujawsko-pomorskie;869755
Budziska;wieś;Adamów;łukowski;lubelskie;667900
Budziska;wieś;Trojanów;garwoliński;mazowieckie;692357
Budziska;wieś;Halinów;miński;mazowieckie;2654
Budziska;wieś;Latowicz;miński;mazowieckie;677547
Budziska;wieś;Łochów;węgrowski;mazowieckie;678742
Budziska;wieś;Czersk;chojnicki;pomorskie;83078
Budziska;wieś;Kuźnia Raciborska;raciborski;śląskie;215657
Budziska;wieś;Łubnice;staszowski;świętokrzyskie;798417
Budziska;wieś;Mrągowo;mrągowski;warmińsko-mazurskie;483501
Budziski;wieś;Sztabin;augustowski;podlaskie;769321
Budziski;wieś;Stawiski;kolneński;podlaskie;406357
Budzisko;wieś;Szypliszki;suwalski;podlaskie;770086
Budzisław;wieś;Bytoń;radziejowski;kujawsko-pomorskie;859863
Budzisław;wieś;Rogowo;żniński;kujawsko-pomorskie;94120
Budzisław;wieś;Słupia (Konecka);konecki;świętokrzyskie;269535
Budzisław Górny;wieś;Kleczew;koniński;wielkopolskie;286226
Budzisław Kościelny;wieś;Kleczew;koniński;wielkopolskie;286249
Budzistowo;wieś;Kołobrzeg;kołobrzeski;zachodniopomorskie;307460
Budzisz;wieś;Dzierzgoń;sztumski;pomorskie;148961
Budziszewice;wieś;Budziszewice;tomaszowski;łódzkie;536841
Budziszewice;wieś;Skoki;wągrowiecki;wielkopolskie;594548
Budziszewko;wieś;Rogoźno;obornicki;wielkopolskie;528899
Budziszewo;wieś;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;844726
Budziszewo;wieś;Zaręby Kościelne;ostrowski;mazowieckie;411507
Budziszki;wieś;Stary Lubotyń;ostrowski;mazowieckie;520490
Budziszów;wieś;Kostomłoty;średzki;dolnośląskie;875968
Budziszów;wieś;Kobierzyce;wrocławski;dolnośląskie;875342
Budziszów Mały;wieś;Wądroże Wielkie;jaworski;dolnośląskie;368177
Budziszów Wielki;wieś;Wądroże Wielkie;jaworski;dolnośląskie;368183
Budziszyn;wieś;Chynów;grójecki;mazowieckie;616474
Budziszynek;wieś;Chynów;grójecki;mazowieckie;616480
Budziwojowice;wieś;Długołęka;wrocławski;dolnośląskie;873691
Budziwojów;wieś;Chojnów;legnicki;dolnośląskie;363323
Budzów;wieś;Stoszowice;ząbkowicki;dolnośląskie;855397
Budzów;wieś;Żytno;radomszczański;łódzkie;147772
Budzów;wieś;Budzów;suski;małopolskie;49466
Budzów;wieś;Gorzów Śląski;oleski;opolskie;131788
Budzynek;wieś;Dalików;poddębicki;łódzkie;701949
Budzyno;wieś;Czerwonka;makowski;mazowieckie;508572
Budzyno-Bolki;wieś;Czerwonka;makowski;mazowieckie;508589
Budzyno-Lipniki;wieś;Czerwonka;makowski;mazowieckie;508595
Budzyń;wieś;Księżpol;biłgorajski;lubelskie;892659
Budzyń;wieś;Chodel;opolski;lubelskie;379838
Budzyń;wieś;Żychlin;kutnowski;łódzkie;580173
Budzyń;wieś;Liszki;krakowski;małopolskie;325021
Budzyń;wieś;Wolbrom;olkuski;małopolskie;223728
Budzyń;wieś;Radymno;jarosławski;podkarpackie;609340
Budzyń;wieś;Busko-Zdrój;buski;świętokrzyskie;231521
Budzyń;wieś;Budzyń;chodzieski;wielkopolskie;524393
Bugaj;wieś;Bełchatów;bełchatowski;łódzkie;535712
Bugaj;wieś;Grabów;łęczycki;łódzkie;283771
Bugaj;wieś;Żytno;radomszczański;łódzkie;147789
Bugaj;wieś;Brąszewice;sieradzki;łódzkie;699224
Bugaj;wieś;Biecz;gorlicki;małopolskie;344797
Bugaj;wieś;Kalwaria Zebrzydowska;wadowicki;małopolskie;56621
Bugaj;wieś;Gnojno;buski;świętokrzyskie;238032
Bugaj;wieś;Sędziszów;jędrzejowski;świętokrzyskie;266873
Bugaj;wieś;Strawczyn;kielecki;świętokrzyskie;273264
Bugaj;wieś;Pińczów;pińczowski;świętokrzyskie;262786
Bugaj;wieś;Bliżyn;skarżyski;świętokrzyskie;228341
Bugaj;wieś;Babiak;kolski;wielkopolskie;280933
Bugaj;wieś;Raszków;ostrowski;wielkopolskie;207534
Bugaj;wieś;Pobiedziska;poznański;wielkopolskie;592928
Bugaj;wieś;Miłosław;wrzesiński;wielkopolskie;589116
Bugaj Lipnicki;wieś;Siemkowice;pajęczański;łódzkie;712580
Bugaj Radoszewicki;wieś;Siemkowice;pajęczański;łódzkie;712597
Bugi;wieś;Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie;479669
Bugzy Płoskie;wieś;Chorzele;przasnyski;mazowieckie;507302
Bujak;wieś;Skaryszew;radomski;mazowieckie;636838
Bujaki;wieś;Drohiczyn;siemiatycki;podlaskie;27430
Bujaków;wieś;Porąbka;bielski;śląskie;64371
Bujały;wieś;Sadkowice;rawski;łódzkie;737137
Bujały-Gniewosze;wieś;Jabłonna Lacka;sokołowski;mazowieckie;672455
Bujały-Mikosze;wieś;Jabłonna Lacka;sokołowski;mazowieckie;672461
Bujenka;wieś;Ciechanowiec;wysokomazowiecki;podlaskie;395576
Bujne;wieś;Gródek nad Dunajcem;nowosądecki;małopolskie;426058
Bujnice;wieś;Gorzkowice;piotrkowski;łódzkie;539704
Bujnice-Kolonia;wieś;Gorzkowice;piotrkowski;łódzkie;539710
Bujniczki;wieś;Gorzkowice;piotrkowski;łódzkie;539733
Bujniczki-Kolonia;wieś;Gorzkowice;piotrkowski;łódzkie;539756
Bujnowo;wieś;Wyszki;bielski;podlaskie;43794
Bujnów;wieś;Złoczew;sieradzki;łódzkie;722294
Bujny;wieś;Wola Krzysztoporska;piotrkowski;łódzkie;555347
Bujny;wieś;Sokoły;wysokomazowiecki;podlaskie;405620
Bujny Księże;wieś;Zelów;bełchatowski;łódzkie;556795
Bujny Szlacheckie;wieś;Zelów;bełchatowski;łódzkie;556810
Bujny-Biszewo;wieś;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;410264
Buk;wieś;Gołcza;miechowski;małopolskie;319055
Buk;wieś;Cisna;leski;podkarpackie;347784
Buk;miasto;Buk;poznański;wielkopolskie;970520
Buk;wieś;Dobra (Szczecińska);policki;zachodniopomorskie;774150
Buk Góralski;wieś;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;844732
Buk Pomorski;wieś;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;844749
Buka;wieś;Debrzno;człuchowski;pomorskie;743600
Bukowa;wieś;Biłgoraj;biłgorajski;lubelskie;885748
Bukowa;wieś;Bełchatów;bełchatowski;łódzkie;535244
Bukowa;wieś;Brzostek;dębicki;podkarpackie;814524
Bukowa;wieś;Smołdzino;słupski;pomorskie;751031
Bukowa;wieś;Osiek;staszowski;świętokrzyskie;802030
Bukowa;wieś;Krasocin;włoszczowski;świętokrzyskie;246126
Bukowa Góra;wieś;Czersk;chojnicki;pomorskie;83049
Bukowa Góra;wieś;Sulęczyno;kartuski;pomorskie;174585
Bukowa Mała;wieś;Sawin;chełmski;lubelskie;106603
Bukowa Śląska;wieś;Namysłów;namysłowski;opolskie;499471
Bukowa Wielka;wieś;Sawin;chełmski;lubelskie;106626
Bukowce;wieś;Pątnów;wieluński;łódzkie;709595
Bukowe;wieś;Zagórów;słupecki;wielkopolskie;301262
Bukowiany;wieś;Sadowie;opatowski;świętokrzyskie;806039
Bukowica;wieś;Niegosławice;żagański;lubuskie;911888
Bukowice;wieś;Krośnice;milicki;dolnośląskie;876301
Bukowice;wieś;Brzeg Dolny;wołowski;dolnośląskie;873018
Bukowice;wieś;Leśna Podlaska;bialski;lubelskie;14551
Bukowice-Kolonia;wieś;Leśna Podlaska;bialski;lubelskie;14568
Bukowie;wieś;Wilków;namysłowski;opolskie;504700
Bukowie;wieś;Kunów;ostrowiecki;świętokrzyskie;247019
Bukowie Dolne;wieś;Drużbice;bełchatowski;łódzkie;538231
Bukowie Górne;wieś;Drużbice;bełchatowski;łódzkie;538248
Bukowiec;wieś;Mysłakowice;jeleniogórski;dolnośląskie;191365
Bukowiec;wieś;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie;844755
Bukowiec;wieś;Rogóźno;grudziądzki;kujawsko-pomorskie;848859
Bukowiec;wieś;Bukowiec;świecki;kujawsko-pomorskie;80559
Bukowiec;wieś;Międzyrzecz;międzyrzecki;lubuskie;183940
Bukowiec;wieś;Brójce;łódzki wschodni;łódzkie;413179
Bukowiec;wieś;Nowosolna;łódzki wschodni;łódzkie;414090
Bukowiec;wieś;Brąszewice;sieradzki;łódzkie;699218
Bukowiec;wieś;Żelechlinek;tomaszowski;łódzkie;558305
Bukowiec;wieś;Korzenna;nowosądecki;małopolskie;435637
Bukowiec;wieś;Kowala;radomski;mazowieckie;626981
Bukowiec;wieś;Lutowiska;bieszczadzki;podkarpackie;996264
Bukowiec;wieś;Kolbuszowa;kolbuszowski;podkarpackie;652151
Bukowiec;wieś;Solina;leski;podkarpackie;360537
Bukowiec;wieś;Górowo Iławeckie;bartoszycki;warmińsko-mazurskie;473951
Bukowiec;wieś;Budzyń;chodzieski;wielkopolskie;524418
Bukowiec;wieś;Czarnków;czarnkowsko-trzcianecki;wielkopolskie;524849
Bukowiec;wieś;Nowy Tomyśl;nowotomyski;wielkopolskie;591024
Bukowiec;wieś;Wągrowiec;wągrowiecki;wielkopolskie;531683
Bukowiec nad Pilicą;wieś;Mniszków;opoczyński;łódzkie;545870
Bukowiec Opoczyński;wieś;Opoczno;opoczyński;łódzkie;547017
Bukowina;wieś;Długołęka;wrocławski;dolnośląskie;873700
Bukowina;wieś;Błaszki;sieradzki;łódzkie;697780
Bukowina;wieś;Ulanów;niżański;podkarpackie;809003
Bukowina;wieś;Cewice;lęborski;pomorskie;741340
Bukowina;wieś;Biszcza;biłgorajski;lubelskie;886593
Bukowina Bobrzańska;wieś;Żagań;żagański;lubuskie;917572
Bukowina Sycowska;wieś;Międzybórz;oleśnicki;dolnośląskie;203542
Bukowina Tatrzańska;wieś;Bukowina Tatrzańska;tatrzański;małopolskie;418484
Bukowina-Osiedle;wieś;Raba Wyżna;nowotarski;małopolskie;461400
